course_id,course_title,is_paid,price,num_subscribers,level,year,month
1122792,The Almost Perfect Options Trading Strategy System - Unique,True,200,1793,All Levels,2017,3
709500,Forex Trading -  Learn to Trade Forex Like the Banks,True,20,3223,All Levels,2016,3
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,True,60,16385,Beginner Level,2014,9
1135126,The Most Powerful Options Spread Trading Front Ratio Spread,True,200,1487,All Levels,2017,3
834558,What Finance Job is for You? Explanation of 14 Finance Roles,True,200,2951,All Levels,2016,5
551968,The Blueprint for Successful Stock Trading,True,120,2697,All Levels,2015,8
1005658,Trading for Beginners - Intermediate Level,True,150,3979,Beginner Level,2016,11
746432,Start Trading Stocks Using Technical Analysis!,True,25,3190,All Levels,2016,2
1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,True,200,1406,Expert Level,2017,1
284118,VPS for Forex Trading - Protect Your Forex Robots,True,160,4252,All Levels,2014,9
302562,Introduction to Accounting: The Language of Business,True,20,11958,Beginner Level,2014,10
596598,Basic Excel for Basic Bookkeeping and Accounting,True,95,7743,Beginner Level,2015,9
860890,"Using 'The Greeks To Understand Options""",True,50,2134,All Levels,2016,7
951050,Trading Options For Consistent Returns: Calendar Spreads,True,200,1214,All Levels,2016,10
796450,How to Create Your Personal Budget,True,20,3870,All Levels,2016,3
502772,The Complete Value Investing Course: A Proven Approach,True,200,2146,All Levels,2015,6
1102462,FOREX Trading with Price Action,True,195,484,Beginner Level,2017,3
1062092,Emini ES Futures - Advanced Non Directional Options Trading,True,200,1057,All Levels,2017,1
891484,Forex Trading - Advanced Fundamental Analysis,True,20,1754,Intermediate Level,2016,6
1217064,How To Invest With Tiny Capital In Stocks ?,True,20,1239,Beginner Level,2017,5
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,True,95,2493,All Levels,2015,1
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,True,150,2602,Beginner Level,2015,10
474928,Intermediate Options trading concepts for Stocks and Options,True,40,2000,All Levels,2015,4
1148774,Options Trading 101: The Basics,False,0,1514,Beginner Level,2017,3
959144,Practical Accounts APP Overview,True,20,1361,Intermediate Level,2016,10
1233350,Bitcoin Profits for Beginners,True,100,61,Beginner Level,2017,6
572744,Trend Traders Club: How To Find And Trade Fast Moving Trends,True,75,1513,All Levels,2015,8
724062,Financial Statements Basics,True,20,1374,Beginner Level,2016,1
474212,High performance Stock Trading using key Options techniques,True,40,2103,All Levels,2015,4
771276,Introduction to Financial Statement Analysis,True,20,1480,Beginner Level,2016,3
388164,Basics of Economics (College Level),True,25,2516,All Levels,2015,1
133536,Stock Market Investing for Beginners,False,0,50855,Beginner Level,2013,12
655300,Accounting for Beginners : Learn Basics in under 1 Hour,True,50,1971,Beginner Level,2015,12
949504,Straddle Options Trading - Profit in Any Market Direction,True,200,837,All Levels,2016,10
265960,Fundamentals of Forex Trading,False,0,17160,All Levels,2014,8
680044,"Binary Options: Trading Strategies, 90% Accuracy and Signals",True,195,1723,Beginner Level,2015,12
923616,Website Investing 101 - Buying & Selling Online Businesses,False,0,6811,All Levels,2016,8
741898,Practical Accounts & Bookkeeping Automated Overview ,True,20,2060,All Levels,2016,1
381330,Live Account - ETF Trading System - Hacking The Stock Market,True,150,2318,All Levels,2014,12
545918,Stock Market Leverage: How to Start Trading Options Wisely,True,95,2153,Beginner Level,2015,7
191854,Stock Market Foundations,False,0,19339,Beginner Level,2014,3
471546,Crash Course on Working Capital Management,True,20,3177,All Levels,2015,4
866584,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,True,150,1535,All Levels,2016,6
889824,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,True,20,1027,All Levels,2016,7
1191504,How to create a routine Trading,True,25,307,All Levels,2017,5
585752,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",True,150,2096,All Levels,2015,8
671578,Forex SOS Course: Trading Tweaks And Working Forex Strategy,True,50,1315,Beginner Level,2015,11
151668,Introduction to Financial Modeling,False,0,29167,Intermediate Level,2014,5
1105344,Quantitative Aptitude for Banking & Competitive Examinations,True,50,1056,All Levels,2017,2
44836,Option Spreads and Credit Spreads Bundle,True,180,2212,Expert Level,2013,3
840300,B Com Accountancy I (Paper ECO 02 IGNOU),True,50,2946,All Levels,2016,5
1100054,FOREX TRADING - Learn in a quick + profitable way + support,True,100,271,All Levels,2017,2
421054,Auditing Basics (Professional Course Level),True,25,3771,All Levels,2015,2
528784,Stock market Investing Encyclopedia: How to invest in stocks,True,200,3143,Intermediate Level,2015,11
637430,Learn the basics of preparing accounting statements,True,20,1951,Intermediate Level,2015,10
236080,Elliott Wave -Forex Trading With The Elliott Wave Theory,True,90,4022,Expert Level,2016,12
777444,Corporate Finance - A Brief Introduction,False,0,11724,Beginner Level,2016,3
474238,Excel functions to analyze and visualize data,True,20,2283,Intermediate Level,2015,4
1245244,Building Financial Statements in Excel,True,35,1181,Beginner Level,2017,6
1051570,Transfer Pricing A Complete Analysis,True,50,1852,All Levels,2016,12
262370,Accounting: Get Hired Without Work Experience,True,100,4661,All Levels,2014,9
1188178,Forex Trading for Beginners - Basics,True,50,989,All Levels,2017,4
824592,Basic Bookkeeping Hacks,True,20,5841,All Levels,2016,6
1147458,Complete Trading Plan Course for Stocks & Forex (10 Hours),True,200,1087,All Levels,2017,3
1243448,"Forex Trading with Fixed 'Risk through Options Trading""",True,200,611,Beginner Level,2017,6
730414,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",True,60,1922,All Levels,2016,1
252396,How to Pick The Right Penny Stocks To Invest In 2017,True,150,9015,All Levels,2014,7
